pclass	survived	name	age	embarked	home.dest	room	ticket	boat	sex	
1st	1	Allen, Miss Elisabeth Walton	29.0000	Southampton	St Louis, MO	B-5	24160 L221	2	female	
1st	0	Allison, Miss Helen Loraine	 2.0000	Southampton	Montreal, PQ / Chesterville, ON	C26	NA	NA	female	
1st	0	Allison, Mr Hudson Joshua Creighton	30.0000	Southampton	Montreal, PQ / Chesterville, ON	C26	NA	(135)	male	
1st	0	Allison, Mrs Hudson J.C. (Bessie Waldo Daniels)	25.0000	Southampton	Montreal, PQ / Chesterville, ON	C26	NA	NA	female	
1st	1	Allison, Master Hudson Trevor	 0.9167	Southampton	Montreal, PQ / Chesterville, ON	C22	NA	11	male	
1st	1	Anderson, Mr Harry	47.0000	Southampton	New York, NY	E-12	NA	3	male	
1st	1	Andrews, Miss Kornelia Theodosia	63.0000	Southampton	Hudson, NY	D-7	13502 L77	10	female	
1st	0	Andrews, Mr Thomas, jr	39.0000	Southampton	Belfast, NI	A-36	NA	NA	male	
1st	1	Appleton, Mrs Edward Dale (Charlotte Lamson)	58.0000	Southampton	Bayside, Queens, NY	C-101	NA	2	female	
1st	0	Artagaveytia, Mr Ramon	71.0000	Cherbourg	Montevideo, Uruguay	NA	NA	(22)	male	
1st	0	Astor, Colonel John Jacob	47.0000	Cherbourg	New York, NY	NA	17754 L224 10s 6d	(124)	male	
1st	1	Astor, Mrs John Jacob (Madeleine Talmadge Force)	19.0000	Cherbourg	New York, NY	NA	17754 L224 10s 6d	4	female	
1st	1	Aubert, Mrs Leontine Pauline	NA	Cherbourg	Paris, France	B-35	17477 L69 6s	9	female	
1st	1	Barkworth, Mr Algernon H.	NA	Southampton	Hessle, Yorks	A-23	NA	B	male	
1st	0	Baumann, Mr John D.	NA	Southampton	New York, NY	NA	NA	NA	male	
1st	1	Baxter, Mrs James (Helene DeLaudeniere Chaput)	50.0000	Cherbourg	Montreal, PQ	B-58/60	NA	6	female	
1st	0	Baxter, Mr Quigg Edmond	24.0000	Cherbourg	Montreal, PQ	B-58/60	NA	NA	male	
1st	0	Beattie, Mr Thomson	36.0000	Cherbourg	Winnipeg, MN	C-6	NA	NA	male	
1st	1	Beckwith, Mr Richard Leonard	37.0000	Southampton	New York, NY	D-35	NA	5	male	
1st	1	Beckwith, Mrs Richard Leonard (Sallie Monypeny)	47.0000	Southampton	New York, NY	D-35	NA	5	female	
1st	1	Behr, Mr Karl Howell	26.0000	Cherbourg	New York, NY	C-148	NA	5	male	
1st	0	Birnbaum, Mr Jakob	25.0000	Cherbourg	San Francisco, CA	NA	NA	(148)	male	
1st	1	Bishop, Mr Dickinson H.	25.0000	Cherbourg	Dowagiac, MI	B-49	NA	7	male	
1st	1	Bishop, Mrs Dickinson H. (Helen Walton)	19.0000	Cherbourg	Dowagiac, MI	B-49	NA	7	female	
1st	1	Bjornstrm-Steffansson, Mr Mauritz Hakan	28.0000	Southampton	Stockholm, Sweden / Washington, DC	NA	 	D	male	
1st	0	Blackwell, Mr Stephen Weart	45.0000	Southampton	Trenton, NJ	NA	NA	(241)	male	
1st	1	Blank, Mr Henry	39.0000	Cherbourg	Glen Ridge, NJ	A-31	NA	7	male	
1st	1	Bonnell, Miss Caroline	30.0000	Southampton	Youngstown, OH	C-7	NA	8	female	
1st	1	Bonnell, Miss Elizabeth	58.0000	Southampton	Birkdale, England Cleveland, Ohio	C-103	NA	8	female	
1st	0	Borebank, Mr John James	NA	Southampton	London / Winnipeg, MB	D-21/2	NA	NA	male	
1st	1	Bowen, Miss Grace Scott	45.0000	Cherbourg	Cooperstown, NY	NA	NA	4	female	
1st	1	Bowerman, Miss Elsie Edith	22.0000	Southampton	St Leonards-on-Sea, England Ohio	NA	NA	6	female	
1st	1	Bradley, Mr George	NA	Southampton	Los Angeles, CA	NA	NA	15	male	
1st	0	Brady, Mr John Bertram	41.0000	Southampton	Pomeroy, WA	NA	NA	NA	male	
1st	0	Brandeis, Mr Emil	48.0000	Cherbourg	Omaha, NE	NA	17591 L50 9s 11d	(208)	male	
1st	0	Brewe, Dr Arthur Jackson	NA	Cherbourg	Philadelphia, PA	NA	NA	NA	male	
1st	1	Brown, Mrs James Joseph (Margaret Molly" Tobin)"	44.0000	Cherbourg	Denver, CO	NA	17610 L27 15s 5d	6	female	
1st	1	Brown, Mrs John Murray (Caroline Lane Lamson)	59.0000	Southampton	Belmont, MA	C-101	NA	D	female	
1st	1	Bucknell, Mrs William Robert (Emma Eliza Ward)	60.0000	Cherbourg	Philadelphia, PA	NA	NA	8	female	
1st	0	Butt, Major Archibald Willingham	45.0000	Southampton	Washington, DC	NA	NA	NA	male	
1st	1	Calderhead, Mr Edward P.	NA	Southampton	New York, NY	NA	NA	5/7	male	
1st	1	Candee, Mrs Edward (Helen Churchill Hungerford)	53.0000	Cherbourg	Washington, DC	NA	NA	6	female	
1st	1	Cardeza, Mrs James Warburton Martinez (Charlotte Wardle Drake)	58.0000	Cherbourg	Germantown, Philadelphia, PA	B-51/3/5	17755 L512 6s	3	female	
1st	1	Cardeza, Mr Thomas Drake Martinez	36.0000	Cherbourg	Austria-Hungary / Germantown, Philadelphia, PA	B-51/3/5	17755 L512 6s	3	male	
1st	0	Carlsson, Mr Frans Olof	33.0000	Southampton	New York, NY	NA	NA	NA	male	
1st	0	Carrau, Mr Francisco M.	NA	Southampton	Montevideo, Uruguay	NA	NA	NA	male	
1st	0	Carrau, Mr Jose Pedro	NA	Southampton	Montevideo, Uruguay	NA	NA	NA	male	
1st	1	Carter, Mr William Ernest	36.0000	Southampton	Bryn Mawr, PA	NA	NA	C	male	
1st	1	Carter, Mrs William Ernest (Lucile Polk)	36.0000	Southampton	Bryn Mawr, PA	NA	NA	4	female	
1st	1	Carter, Miss Lucile Polk	14.0000	Southampton	Bryn Mawr, PA	NA	NA	4	female	
1st	1	Carter, Master William T. II	11.0000	Southampton	Bryn Mawr, PA	NA	NA	4	male	
1st	0	Case, Mr Howard Brown	49.0000	Southampton	Ascot, Berkshire / Rochester, NY	NA	NA	NA	male	
1st	1	Cassebeer, Mrs Henry Arthur jr (Genevieve Fosdick)	NA	Cherbourg	New York, NY	NA	NA	5	female	
1st	0	Cavendish, Mr Tyrell William	36.0000	Southampton	Little Onn Hall, Staffs	NA	NA	(172)	male	
1st	1	Cavendish, Mrs Tyrell William Julia Florence Siegel	NA	Southampton	Little Onn Hall, Staffs	NA	NA	6	female	
1st	0	Chaffee, Mr Herbert Fuller	46.0000	Southampton	Amenia, ND	NA	NA	NA	male	
1st	1	Chaffee, Mrs Herbert Fuller (Carrie Constance Toogood)	47.0000	Southampton	Amenia, ND	NA	NA	NA	female	
1st	1	Chambers, Mr Norman Campbell	27.0000	Southampton	New York, NY / Ithaca, NY	NA	NA	5	male	
1st	1	Chambers, Mrs Norman Campbell (Bertha Griggs)	31.0000	Southampton	New York, NY / Ithaca, NY	NA	NA	5	female	
1st	1	Cherry, Miss Gladys	NA	Southampton	London, England	NA	NA	8	female	
1st	1	Chevre, Mr Paul	NA	Cherbourg	Paris, France	NA	NA	7	male	
1st	1	Chibnall (Bowerman), Mrs Edith Martha	NA	Southampton	St Leonards-on-Sea, England Ohio	NA	NA	6	female	
1st	0	Chisholm, Mr Roderick Robert	NA	NA	Liverpool, England / Belfast	NA	NA	NA	male	
1st	0	Clark, Mr Walter Miller	27.0000	Cherbourg	Los Angeles, CA	C-87	NA	NA	male	
1st	1	Clark, Mrs Walter Miller (Virginia McDowell)	26.0000	Cherbourg	Los Angeles, CA	C-87	NA	4	female	
1st	0	Clifford, Mr George Quincy	NA	Southampton	Stoughton, MA	NA	NA	NA	male	
1st	0	Colley, Mr Edward Pomeroy	NA	Southampton	Victoria, BC	NA	NA	NA	male	
1st	1	Compton, Mrs Alexander Taylor (Mary Eliza Ingersoll)	64.0000	Cherbourg	Lakewood, NJ	NA	NA	14	female	
1st	0	Compton, Mr Alexander Taylor, Jr	37.0000	Cherbourg	Lakewood, NJ	NA	NA	NA	male	
1st	1	Compton, Miss Sara Rebecca	39.0000	Cherbourg	Lakewood, NJ	NA	NA	14	female	
1st	1	Cornell, Mrs Robert Clifford (Malvina Helen Lamson)	55.0000	Southampton	New York, NY	C-101	NA	2	female	
1st	0	Crafton, Mr John Bertram	NA	Southampton	Roachdale, IN	NA	NA	NA	male	
1st	0	Crosby, Captain Edward Gifford	70.0000	Southampton	Milwaukee, WI	NA	NA	(269)	male	
1st	1	Crosby, Mrs Edward Gifford (Catherine Elizabeth Halstead)	69.0000	Southampton	Milwaukee, WI	NA	NA	5	female	
1st	1	Crosby, Miss Harriet R.	36.0000	Southampton	Milwaukee, WI	NA	NA	5	female	
1st	0	Cumings, Mr John Bradley	39.0000	Cherbourg	New York, NY	C-85	NA	NA	male	
1st	1	Cumings, Mrs John Bradley (Florence Briggs Thayer)	38.0000	Cherbourg	New York, NY	C-85	NA	4	female	
1st	1	Daly, Mr Peter Denis 	NA	Southampton	Lima, Peru	NA	NA	A	male	
1st	1	Daniel, Mr Robert Williams	27.0000	Southampton	Philadelphia, PA	NA	NA	7	male	
1st	0	Davidson, Mr Thornton	31.0000	Southampton	Montreal, PQ	NA	NA	NA	male	
1st	1	Davidson, Mrs Thornton (Orian Hays)	27.0000	Southampton	Montreal, PQ	NA	NA	3	female	
1st	1	de Villiers, Madame Berthe	NA	Cherbourg	Belgium  Montreal, PQ	NA	NA	6	female	
1st	1	Dick, Mr Albert Adrian	31.0000	Cherbourg	Calgary, AB	NA	NA	3	male	
1st	1	Dick, Mrs Albert Adrian Vera Gillespie	17.0000	Cherbourg	Calgary, AB	NA	NA	3	female	
1st	1	Dodge, Dr. Washington	NA	Southampton	San Francisco, CA	NA	NA	13	male	
1st	1	Dodge, Mrs Washington (Ruth Vidaver)	NA	Southampton	San Francisco, CA	NA	NA	5/7	female	
1st	1	Dodge, Master Washington	 4.0000	Southampton	San Francisco, CA	NA	NA	5/7	male	
1st	1	Douglas, Mrs Frederick Charles (Suzette Baxter)	27.0000	Cherbourg	Montreal, PQ	NA	NA	6	female	
1st	0	Douglas, Mr Walter Donald	50.0000	Cherbourg	Deephaven, MN / Cedar Rapids, IA	NA	NA	(62)	male	
1st	1	Douglas, Mrs Walter Donald (Mahala Dutton)	48.0000	Cherbourg	Deephaven, MN / Cedar Rapids, IA	NA	NA	2	female	
1st	1	Duff Gordon, Sir Cosmo Edmund	49.0000	Cherbourg	London / Paris	NA	11755 L39 12s	1	male	
1st	1	Duff Gordon, Lady (Lucille Wallace Sutherland)	48.0000	Cherbourg	London / Paris	NA	17485 L56 18s 7d	1	female	
1st	0	Dulles, Mr William Crothers	39.0000	Cherbourg	Philadelphia, PA	NA	NA	(133)	male	
1st	1	Earnshaw, Mrs Boulton (Olive Potter)	23.0000	Cherbourg	Mt Airy, Philadelphia, PA	NA	NA	7	female	
1st	1	Eustis, Miss Elizabeth Mussey	53.0000	Cherbourg	Brookline, MA	NA	NA	4	female	
1st	0	Evans, Miss Edith Corse	36.0000	Cherbourg	New York, NY	NA	NA	NA	female	
